2.152: [Full GC 2.152: [CMS: 0K->5234K(6815744K), 0.1896870 secs] 528904K->5234K(8231360K), [CMS Perm : 21247K->21210K(21248K)], 0.1899130 secs] [Times: user=0.14 sys=0.05, real=0.19 secs] 
4.759: [Full GC 4.759: [CMS: 5234K->7355K(6815744K), 0.1945150 secs] 382840K->7355K(8231360K), [CMS Perm : 35248K->34914K(35352K)], 0.1948270 secs] [Times: user=0.19 sys=0.00, real=0.20 secs] 
25.118: [GC 25.118: [ParNew: 1258368K->143985K(1415616K), 0.0987560 secs] 1265723K->151341K(8231360K), 0.0989880 secs] [Times: user=0.96 sys=0.49, real=0.09 secs] 
33.108: [GC 33.108: [ParNew: 1402353K->157248K(1415616K), 0.6565800 secs] 1409709K->345762K(8231360K), 0.6567720 secs] [Times: user=2.78 sys=0.60, real=0.66 secs] 
3435.596: [GC 3435.596: [ParNew: 1415405K->157248K(1415616K), 0.5113950 secs] 1603920K->480450K(8231360K), 0.5116860 secs] [Times: user=2.15 sys=0.40, real=0.52 secs] 
3487.133: [GC 3487.133: [ParNew: 1415616K->118830K(1415616K), 0.4680210 secs] 1738818K->555473K(8231360K), 0.4683310 secs] [Times: user=1.35 sys=0.37, real=0.47 secs] 
3494.310: [GC 3494.310: [ParNew: 1377198K->57397K(1415616K), 0.0166790 secs] 1813841K->494040K(8231360K), 0.0169420 secs] [Times: user=0.24 sys=0.01, real=0.01 secs] 
5159.082: [GC 5159.082: [ParNew: 1315765K->60294K(1415616K), 0.0184790 secs] 1752408K->496937K(8231360K), 0.0188410 secs] [Times: user=0.23 sys=0.01, real=0.02 secs] 
5196.690: [GC 5196.690: [ParNew: 1318662K->69755K(1415616K), 0.0163650 secs] 1755305K->506398K(8231360K), 0.0166930 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
5206.510: [GC 5206.510: [ParNew: 1328123K->84371K(1415616K), 0.0186970 secs] 1764766K->521014K(8231360K), 0.0190280 secs] [Times: user=0.27 sys=0.01, real=0.02 secs] 
5213.541: [GC 5213.541: [ParNew: 1342739K->101915K(1415616K), 0.0201190 secs] 1779382K->538558K(8231360K), 0.0204250 secs] [Times: user=0.30 sys=0.00, real=0.02 secs] 
5219.354: [GC 5219.354: [ParNew: 1360283K->123028K(1415616K), 0.0245160 secs] 1796926K->559670K(8231360K), 0.0248360 secs] [Times: user=0.37 sys=0.00, real=0.03 secs] 
5223.965: [GC 5223.965: [ParNew: 1381396K->133558K(1415616K), 0.0499610 secs] 1818038K->583037K(8231360K), 0.0502720 secs] [Times: user=0.49 sys=0.04, real=0.05 secs] 
5227.176: [GC 5227.176: [ParNew: 1391926K->133979K(1415616K), 0.0509110 secs] 1841405K->595100K(8231360K), 0.0512370 secs] [Times: user=0.49 sys=0.03, real=0.06 secs] 
5230.007: [GC 5230.008: [ParNew: 1392347K->140034K(1415616K), 0.0541950 secs] 1853468K->613501K(8231360K), 0.0544950 secs] [Times: user=0.54 sys=0.03, real=0.06 secs] 
5232.303: [GC 5232.303: [ParNew: 1398402K->108553K(1415616K), 0.0655170 secs] 1871869K->599333K(8231360K), 0.0658180 secs] [Times: user=0.56 sys=0.05, real=0.07 secs] 
5234.320: [GC 5234.320: [ParNew: 1366921K->137604K(1415616K), 0.0416660 secs] 1857701K->637011K(8231360K), 0.0419890 secs] [Times: user=0.50 sys=0.02, real=0.04 secs] 
5236.497: [GC 5236.497: [ParNew: 1395972K->112126K(1415616K), 0.0593050 secs] 1895379K->626721K(8231360K), 0.0596180 secs] [Times: user=0.55 sys=0.04, real=0.06 secs] 
5238.712: [GC 5238.712: [ParNew: 1370494K->121043K(1415616K), 0.0545710 secs] 1885089K->649523K(8231360K), 0.0548680 secs] [Times: user=0.54 sys=0.04, real=0.05 secs] 
5240.775: [GC 5240.775: [ParNew: 1379411K->120567K(1415616K), 0.0517680 secs] 1907891K->662051K(8231360K), 0.0520640 secs] [Times: user=0.52 sys=0.04, real=0.05 secs] 
5243.005: [GC 5243.005: [ParNew: 1378935K->125626K(1415616K), 0.0484590 secs] 1920419K->679019K(8231360K), 0.0487620 secs] [Times: user=0.52 sys=0.04, real=0.05 secs] 
5245.658: [GC 5245.658: [ParNew: 1383994K->130926K(1415616K), 0.0500640 secs] 1937387K->695824K(8231360K), 0.0503650 secs] [Times: user=0.56 sys=0.04, real=0.05 secs] 
5248.096: [GC 5248.096: [ParNew: 1389294K->154780K(1415616K), 0.0518210 secs] 1954192K->730342K(8231360K), 0.0521320 secs] [Times: user=0.56 sys=0.04, real=0.05 secs] 
5250.343: [GC 5250.343: [ParNew: 1413148K->138453K(1415616K), 0.0874040 secs] 1988710K->737775K(8231360K), 0.0877520 secs] [Times: user=0.55 sys=0.08, real=0.08 secs] 
